Using device: cuda, type: cuda
Model: MLP(hidden=100, num_classes=47)
dataset=emnist_balanced | hidden=100 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_emnist_balanced_hidden_100.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=3.731373 | train_acc=13.338652% | train_correct=15046 | train_total=112800 | val_loss=3.4972682 | val_acc=24.9202128% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=2.890155 | train_acc=36.265957% | train_correct=40908 | train_total=112800 | val_loss=2.2514452 | val_acc=45.7872340% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=1.897305 | train_acc=51.087766% | train_correct=57627 | train_total=112800 | val_loss=1.6775660 | val_acc=54.3138298% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=1.556849 | train_acc=57.010638% | train_correct=64308 | train_total=112800 | val_loss=1.4813308 | val_acc=58.7287234% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=1.416157 | train_acc=60.192376% | train_correct=67897 | train_total=112800 | val_loss=1.3810691 | val_acc=60.7819149% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=1.336225 | train_acc=62.226064% | train_correct=70191 | train_total=112800 | val_loss=1.3240211 | val_acc=62.2180851% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=1.281751 | train_acc=63.699468% | train_correct=71853 | train_total=112800 | val_loss=1.2784835 | val_acc=63.6276596% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=1.239518 | train_acc=64.809397% | train_correct=73105 | train_total=112800 | val_loss=1.2424909 | val_acc=64.5053191% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=1.203285 | train_acc=65.766844% | train_correct=74185 | train_total=112800 | val_loss=1.2113138 | val_acc=65.5372340% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=1.171179 | train_acc=66.666667% | train_correct=75200 | train_total=112800 | val_loss=1.1814803 | val_acc=66.1808511% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=1.141898 | train_acc=67.405142% | train_correct=76033 | train_total=112800 | val_loss=1.1535556 | val_acc=67.0053191% | interpolacja=False | soft_intepolacja=False
