Using device: cuda, type: cuda
Model: MLP(hidden=2000, num_classes=62)
dataset=emnist_byclass | hidden=2000 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_emnist_byclass_hidden_2000.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=1.563125 | train_acc=60.373647% | train_correct=421367 | train_total=697932 | val_loss=1.0821788 | val_acc=69.1746258% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=1.000257 | train_acc=71.318266% | train_correct=497753 | train_total=697932 | val_loss=0.9162291 | val_acc=73.6672885% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.865423 | train_acc=74.757713% | train_correct=521758 | train_total=697932 | val_loss=0.8102771 | val_acc=76.0408518% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.771962 | train_acc=77.004637% | train_correct=537440 | train_total=697932 | val_loss=0.7288166 | val_acc=78.1831624% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.705409 | train_acc=78.655514% | train_correct=548962 | train_total=697932 | val_loss=0.6764219 | val_acc=79.4133576% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.656365 | train_acc=79.753185% | train_correct=556623 | train_total=697932 | val_loss=0.6338976 | val_acc=80.3976858% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.618742 | train_acc=80.625190% | train_correct=562709 | train_total=697932 | val_loss=0.6018497 | val_acc=81.1112162% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.589415 | train_acc=81.278262% | train_correct=567267 | train_total=697932 | val_loss=0.5778822 | val_acc=81.6433551% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.565737 | train_acc=81.856399% | train_correct=571302 | train_total=697932 | val_loss=0.5593912 | val_acc=82.0585783% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.546251 | train_acc=82.275924% | train_correct=574230 | train_total=697932 | val_loss=0.5453478 | val_acc=82.2210569% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.530205 | train_acc=82.690577% | train_correct=577124 | train_total=697932 | val_loss=0.5294186 | val_acc=82.5872785% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.516293 | train_acc=82.987025% | train_correct=579193 | train_total=697932 | val_loss=0.5159285 | val_acc=82.9947646% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.504190 | train_acc=83.262983% | train_correct=581119 | train_total=697932 | val_loss=0.5082972 | val_acc=83.0600999% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.493818 | train_acc=83.522893% | train_correct=582933 | train_total=697932 | val_loss=0.4975719 | val_acc=83.4228828% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.484235 | train_acc=83.778362% | train_correct=584716 | train_total=697932 | val_loss=0.4890321 | val_acc=83.5888002% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.476050 | train_acc=83.975230% | train_correct=586090 | train_total=697932 | val_loss=0.4815621 | val_acc=83.7727706% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.468308 | train_acc=84.157053% | train_correct=587359 | train_total=697932 | val_loss=0.4764801 | val_acc=83.8664752% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.461554 | train_acc=84.300333% | train_correct=588359 | train_total=697932 | val_loss=0.4708034 | val_acc=83.9593202% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.455203 | train_acc=84.483302% | train_correct=589636 | train_total=697932 | val_loss=0.4663448 | val_acc=84.0495861% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.449513 | train_acc=84.596923% | train_correct=590429 | train_total=697932 | val_loss=0.4657313 | val_acc=84.0495861% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.444076 | train_acc=84.717566% | train_correct=591271 | train_total=697932 | val_loss=0.4559401 | val_acc=84.3315595% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.439261 | train_acc=84.863282% | train_correct=592288 | train_total=697932 | val_loss=0.4544123 | val_acc=84.4304222% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.434487 | train_acc=84.957847% | train_correct=592948 | train_total=697932 | val_loss=0.4522463 | val_acc=84.5241268% | interpolacja=False | soft_intepolacja=False
