[26][PRUNE] Pm=34.681% | fc1.w 1356252/3920000 (34.60%) | fc1.b 5000/5000 (100.00%) | fc2.w 17306/50000 (34.61%) | fc2.b 10/10 (100.00%) | val_loss: 0.1445185362994671 | val_acc: 0.9584
[27][PRUNE] Pm=33.299% | fc1.w 1302002/3920000 (33.21%) | fc1.b 5000/5000 (100.00%) | fc2.w 16614/50000 (33.23%) | fc2.b 10/10 (100.00%) | val_loss: 0.1447270001590252 | val_acc: 0.9586
[28][PRUNE] Pm=31.972% | fc1.w 1249922/3920000 (31.89%) | fc1.b 5000/5000 (100.00%) | fc2.w 15950/50000 (31.90%) | fc2.b 10/10 (100.00%) | val_loss: 0.14499333923459054 | val_acc: 0.9583
[29][PRUNE] Pm=30.698% | fc1.w 1199926/3920000 (30.61%) | fc1.b 5000/5000 (100.00%) | fc2.w 15312/50000 (30.62%) | fc2.b 10/10 (100.00%) | val_loss: 0.14493478747308255 | val_acc: 0.9582
[30][PRUNE] Pm=29.475% | fc1.w 1151929/3920000 (29.39%) | fc1.b 5000/5000 (100.00%) | fc2.w 14700/50000 (29.40%) | fc2.b 10/10 (100.00%) | val_loss: 0.14508229932188987 | val_acc: 0.9582
[31][PRUNE] Pm=28.301% | fc1.w 1105852/3920000 (28.21%) | fc1.b 5000/5000 (100.00%) | fc2.w 14112/50000 (28.22%) | fc2.b 10/10 (100.00%) | val_loss: 0.14526949892938137 | val_acc: 0.9585
[32][PRUNE] Pm=27.174% | fc1.w 1061618/3920000 (27.08%) | fc1.b 5000/5000 (100.00%) | fc2.w 13548/50000 (27.10%) | fc2.b 10/10 (100.00%) | val_loss: 0.14575423780083657 | val_acc: 0.9585
[33][PRUNE] Pm=26.092% | fc1.w 1019154/3920000 (26.00%) | fc1.b 5000/5000 (100.00%) | fc2.w 13007/50000 (26.01%) | fc2.b 10/10 (100.00%) | val_loss: 0.14610378949940206 | val_acc: 0.9584
[34][PRUNE] Pm=25.054% | fc1.w 978388/3920000 (24.96%) | fc1.b 5000/5000 (100.00%) | fc2.w 12487/50000 (24.97%) | fc2.b 10/10 (100.00%) | val_loss: 0.14681391433775426 | val_acc: 0.9585
[35][PRUNE] Pm=24.057% | fc1.w 939253/3920000 (23.96%) | fc1.b 5000/5000 (100.00%) | fc2.w 11988/50000 (23.98%) | fc2.b 10/10 (100.00%) | val_loss: 0.14740829898118973 | val_acc: 0.9582
[36][PRUNE] Pm=23.099% | fc1.w 901683/3920000 (23.00%) | fc1.b 5000/5000 (100.00%) | fc2.w 11509/50000 (23.02%) | fc2.b 10/10 (100.00%) | val_loss: 0.1483304609835148 | val_acc: 0.9577
[37][PRUNE] Pm=22.180% | fc1.w 865616/3920000 (22.08%) | fc1.b 5000/5000 (100.00%) | fc2.w 11049/50000 (22.10%) | fc2.b 10/10 (100.00%) | val_loss: 0.1488292606651783 | val_acc: 0.9579
[38][PRUNE] Pm=21.298% | fc1.w 830992/3920000 (21.20%) | fc1.b 5000/5000 (100.00%) | fc2.w 10608/50000 (21.22%) | fc2.b 10/10 (100.00%) | val_loss: 0.14975710536241532 | val_acc: 0.9577
[39][PRUNE] Pm=20.451% | fc1.w 797753/3920000 (20.35%) | fc1.b 5000/5000 (100.00%) | fc2.w 10184/50000 (20.37%) | fc2.b 10/10 (100.00%) | val_loss: 0.15055715074539183 | val_acc: 0.9572
[40][PRUNE] Pm=19.638% | fc1.w 765843/3920000 (19.54%) | fc1.b 5000/5000 (100.00%) | fc2.w 9777/50000 (19.55%) | fc2.b 10/10 (100.00%) | val_loss: 0.15179007469415665 | val_acc: 0.9569
[41][PRUNE] Pm=18.858% | fc1.w 735210/3920000 (18.76%) | fc1.b 5000/5000 (100.00%) | fc2.w 9386/50000 (18.77%) | fc2.b 10/10 (100.00%) | val_loss: 0.15316832021474838 | val_acc: 0.9564
[42][PRUNE] Pm=18.109% | fc1.w 705802/3920000 (18.01%) | fc1.b 5000/5000 (100.00%) | fc2.w 9011/50000 (18.02%) | fc2.b 10/10 (100.00%) | val_loss: 0.154896020925045 | val_acc: 0.9561
[43][PRUNE] Pm=17.389% | fc1.w 677570/3920000 (17.28%) | fc1.b 5000/5000 (100.00%) | fc2.w 8651/50000 (17.30%) | fc2.b 10/10 (100.00%) | val_loss: 0.15617837346196176 | val_acc: 0.9557
[44][PRUNE] Pm=16.699% | fc1.w 650468/3920000 (16.59%) | fc1.b 5000/5000 (100.00%) | fc2.w 8305/50000 (16.61%) | fc2.b 10/10 (100.00%) | val_loss: 0.15824312247633934 | val_acc: 0.9553
