Using device: cuda, type: cuda
Model: MLP(hidden=90, num_classes=10)
dataset=fashion | hidden=90 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_fashion_hidden_90.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=1.771141 | train_acc=44.008333% | train_correct=26405 | train_total=60000 | val_loss=1.1451373 | val_acc=64.8400000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.916588 | train_acc=70.513333% | train_correct=42308 | train_total=60000 | val_loss=0.7904981 | val_acc=72.9100000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.714406 | train_acc=74.833333% | train_correct=44900 | train_total=60000 | val_loss=0.6820459 | val_acc=75.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.634689 | train_acc=77.135000% | train_correct=46281 | train_total=60000 | val_loss=0.6268820 | val_acc=77.2800000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.586338 | train_acc=78.950000% | train_correct=47370 | train_total=60000 | val_loss=0.5905411 | val_acc=78.6900000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.551361 | train_acc=80.430000% | train_correct=48258 | train_total=60000 | val_loss=0.5617186 | val_acc=79.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.525308 | train_acc=81.465000% | train_correct=48879 | train_total=60000 | val_loss=0.5412713 | val_acc=80.7200000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.505437 | train_acc=82.183333% | train_correct=49310 | train_total=60000 | val_loss=0.5235037 | val_acc=81.1700000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.489309 | train_acc=82.715000% | train_correct=49629 | train_total=60000 | val_loss=0.5120098 | val_acc=81.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.476019 | train_acc=83.205000% | train_correct=49923 | train_total=60000 | val_loss=0.5007797 | val_acc=82.0700000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.465284 | train_acc=83.540000% | train_correct=50124 | train_total=60000 | val_loss=0.4970165 | val_acc=82.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.456458 | train_acc=83.823333% | train_correct=50294 | train_total=60000 | val_loss=0.4850275 | val_acc=82.4800000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.447923 | train_acc=84.178333% | train_correct=50507 | train_total=60000 | val_loss=0.4780032 | val_acc=82.7600000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.441284 | train_acc=84.456667% | train_correct=50674 | train_total=60000 | val_loss=0.4718741 | val_acc=83.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.435220 | train_acc=84.608333% | train_correct=50765 | train_total=60000 | val_loss=0.4670373 | val_acc=83.2800000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.428827 | train_acc=84.905000% | train_correct=50943 | train_total=60000 | val_loss=0.4633251 | val_acc=83.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.423177 | train_acc=85.110000% | train_correct=51066 | train_total=60000 | val_loss=0.4564700 | val_acc=83.6400000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.417628 | train_acc=85.313333% | train_correct=51188 | train_total=60000 | val_loss=0.4537240 | val_acc=83.7200000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.413645 | train_acc=85.428333% | train_correct=51257 | train_total=60000 | val_loss=0.4471723 | val_acc=84.0100000% | interpolacja=False | soft_intepolacja=False
