Using device: cuda, type: cuda
Model: MLP(hidden=50, num_classes=10)
dataset=fashion | hidden=50 | batch_size=256 | epochs=5000 | patience=500 | lr=0.001 | seed=42 | momentum=0.9 | log_file=mlp2_fashion_hidden_50.txt | cpu=None | model_name=MLP2 | use_cache=True
[Epoch 01] train_loss=1.841112 | train_acc=42.440000% | train_correct=25464 | train_total=60000 | val_loss=1.2306014 | val_acc=63.2100000% | interpolacja=False | soft_intepolacja=False
[Epoch 02] train_loss=0.960026 | train_acc=69.826667% | train_correct=41896 | train_total=60000 | val_loss=0.8047736 | val_acc=72.8600000% | interpolacja=False | soft_intepolacja=False
[Epoch 03] train_loss=0.720701 | train_acc=74.501667% | train_correct=44701 | train_total=60000 | val_loss=0.6842191 | val_acc=75.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 04] train_loss=0.636920 | train_acc=76.745000% | train_correct=46047 | train_total=60000 | val_loss=0.6287595 | val_acc=76.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 05] train_loss=0.589859 | train_acc=78.700000% | train_correct=47220 | train_total=60000 | val_loss=0.5928412 | val_acc=78.1200000% | interpolacja=False | soft_intepolacja=False
[Epoch 06] train_loss=0.556343 | train_acc=80.146667% | train_correct=48088 | train_total=60000 | val_loss=0.5645381 | val_acc=79.4800000% | interpolacja=False | soft_intepolacja=False
[Epoch 07] train_loss=0.531262 | train_acc=81.126667% | train_correct=48676 | train_total=60000 | val_loss=0.5447238 | val_acc=80.5600000% | interpolacja=False | soft_intepolacja=False
[Epoch 08] train_loss=0.511803 | train_acc=81.933333% | train_correct=49160 | train_total=60000 | val_loss=0.5267408 | val_acc=80.9000000% | interpolacja=False | soft_intepolacja=False
[Epoch 09] train_loss=0.495538 | train_acc=82.565000% | train_correct=49539 | train_total=60000 | val_loss=0.5149245 | val_acc=81.5000000% | interpolacja=False | soft_intepolacja=False
[Epoch 10] train_loss=0.481779 | train_acc=83.096667% | train_correct=49858 | train_total=60000 | val_loss=0.5041655 | val_acc=81.8600000% | interpolacja=False | soft_intepolacja=False
[Epoch 11] train_loss=0.470920 | train_acc=83.425000% | train_correct=50055 | train_total=60000 | val_loss=0.4991990 | val_acc=82.2000000% | interpolacja=False | soft_intepolacja=False
[Epoch 12] train_loss=0.461860 | train_acc=83.675000% | train_correct=50205 | train_total=60000 | val_loss=0.4883734 | val_acc=82.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 13] train_loss=0.453315 | train_acc=83.968333% | train_correct=50381 | train_total=60000 | val_loss=0.4811025 | val_acc=82.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 14] train_loss=0.446548 | train_acc=84.183333% | train_correct=50510 | train_total=60000 | val_loss=0.4758335 | val_acc=82.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 15] train_loss=0.440514 | train_acc=84.468333% | train_correct=50681 | train_total=60000 | val_loss=0.4705368 | val_acc=83.3100000% | interpolacja=False | soft_intepolacja=False
[Epoch 16] train_loss=0.434147 | train_acc=84.620000% | train_correct=50772 | train_total=60000 | val_loss=0.4676811 | val_acc=83.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 17] train_loss=0.428522 | train_acc=84.790000% | train_correct=50874 | train_total=60000 | val_loss=0.4607143 | val_acc=83.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 18] train_loss=0.423195 | train_acc=85.028333% | train_correct=51017 | train_total=60000 | val_loss=0.4586120 | val_acc=83.5500000% | interpolacja=False | soft_intepolacja=False
[Epoch 19] train_loss=0.419380 | train_acc=85.105000% | train_correct=51063 | train_total=60000 | val_loss=0.4521170 | val_acc=83.8700000% | interpolacja=False | soft_intepolacja=False
[Epoch 20] train_loss=0.414247 | train_acc=85.243333% | train_correct=51146 | train_total=60000 | val_loss=0.4486223 | val_acc=83.9400000% | interpolacja=False | soft_intepolacja=False
[Epoch 21] train_loss=0.410367 | train_acc=85.461667% | train_correct=51277 | train_total=60000 | val_loss=0.4446867 | val_acc=84.0300000% | interpolacja=False | soft_intepolacja=False
[Epoch 22] train_loss=0.406255 | train_acc=85.605000% | train_correct=51363 | train_total=60000 | val_loss=0.4416991 | val_acc=84.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 23] train_loss=0.402571 | train_acc=85.663333% | train_correct=51398 | train_total=60000 | val_loss=0.4389645 | val_acc=84.3900000% | interpolacja=False | soft_intepolacja=False
[Epoch 24] train_loss=0.399056 | train_acc=85.795000% | train_correct=51477 | train_total=60000 | val_loss=0.4363073 | val_acc=84.2400000% | interpolacja=False | soft_intepolacja=False
[Epoch 25] train_loss=0.395266 | train_acc=85.925000% | train_correct=51555 | train_total=60000 | val_loss=0.4325534 | val_acc=84.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 26] train_loss=0.392868 | train_acc=86.035000% | train_correct=51621 | train_total=60000 | val_loss=0.4313259 | val_acc=84.4400000% | interpolacja=False | soft_intepolacja=False
[Epoch 27] train_loss=0.388823 | train_acc=86.195000% | train_correct=51717 | train_total=60000 | val_loss=0.4284959 | val_acc=84.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 28] train_loss=0.386408 | train_acc=86.285000% | train_correct=51771 | train_total=60000 | val_loss=0.4276183 | val_acc=84.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 29] train_loss=0.383884 | train_acc=86.335000% | train_correct=51801 | train_total=60000 | val_loss=0.4232896 | val_acc=84.8100000% | interpolacja=False | soft_intepolacja=False
[Epoch 30] train_loss=0.381147 | train_acc=86.438333% | train_correct=51863 | train_total=60000 | val_loss=0.4209040 | val_acc=84.8000000% | interpolacja=False | soft_intepolacja=False
[Epoch 31] train_loss=0.377678 | train_acc=86.640000% | train_correct=51984 | train_total=60000 | val_loss=0.4195574 | val_acc=85.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 32] train_loss=0.375917 | train_acc=86.660000% | train_correct=51996 | train_total=60000 | val_loss=0.4156860 | val_acc=85.1500000% | interpolacja=False | soft_intepolacja=False
[Epoch 33] train_loss=0.372353 | train_acc=86.833333% | train_correct=52100 | train_total=60000 | val_loss=0.4160495 | val_acc=85.1500000% | interpolacja=False | soft_intepolacja=False
[Epoch 34] train_loss=0.370645 | train_acc=86.841667% | train_correct=52105 | train_total=60000 | val_loss=0.4130322 | val_acc=85.1900000% | interpolacja=False | soft_intepolacja=False
[Epoch 35] train_loss=0.368720 | train_acc=86.930000% | train_correct=52158 | train_total=60000 | val_loss=0.4147043 | val_acc=85.1100000% | interpolacja=False | soft_intepolacja=False
[Epoch 36] train_loss=0.365747 | train_acc=87.033333% | train_correct=52220 | train_total=60000 | val_loss=0.4100984 | val_acc=85.3700000% | interpolacja=False | soft_intepolacja=False
[Epoch 37] train_loss=0.363195 | train_acc=87.025000% | train_correct=52215 | train_total=60000 | val_loss=0.4074271 | val_acc=85.6000000% | interpolacja=False | soft_intepolacja=False
[Epoch 38] train_loss=0.361653 | train_acc=87.123333% | train_correct=52274 | train_total=60000 | val_loss=0.4048783 | val_acc=85.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 39] train_loss=0.358953 | train_acc=87.300000% | train_correct=52380 | train_total=60000 | val_loss=0.4033688 | val_acc=85.7200000% | interpolacja=False | soft_intepolacja=False
[Epoch 40] train_loss=0.357749 | train_acc=87.300000% | train_correct=52380 | train_total=60000 | val_loss=0.4026024 | val_acc=85.7000000% | interpolacja=False | soft_intepolacja=False
[Epoch 41] train_loss=0.355585 | train_acc=87.425000% | train_correct=52455 | train_total=60000 | val_loss=0.4022951 | val_acc=85.5300000% | interpolacja=False | soft_intepolacja=False
[Epoch 42] train_loss=0.353577 | train_acc=87.510000% | train_correct=52506 | train_total=60000 | val_loss=0.3988668 | val_acc=85.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 43] train_loss=0.351329 | train_acc=87.605000% | train_correct=52563 | train_total=60000 | val_loss=0.4002124 | val_acc=85.8200000% | interpolacja=False | soft_intepolacja=False
[Epoch 44] train_loss=0.349098 | train_acc=87.646667% | train_correct=52588 | train_total=60000 | val_loss=0.3981331 | val_acc=85.7800000% | interpolacja=False | soft_intepolacja=False
[Epoch 45] train_loss=0.347100 | train_acc=87.788333% | train_correct=52673 | train_total=60000 | val_loss=0.3990205 | val_acc=85.9200000% | interpolacja=False | soft_intepolacja=False
[Epoch 46] train_loss=0.345885 | train_acc=87.786667% | train_correct=52672 | train_total=60000 | val_loss=0.3949474 | val_acc=85.7500000% | interpolacja=False | soft_intepolacja=False
[Epoch 47] train_loss=0.343966 | train_acc=87.900000% | train_correct=52740 | train_total=60000 | val_loss=0.3934055 | val_acc=85.9500000% | interpolacja=False | soft_intepolacja=False
[Epoch 48] train_loss=0.342390 | train_acc=87.855000% | train_correct=52713 | train_total=60000 | val_loss=0.3911698 | val_acc=86.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 49] train_loss=0.340487 | train_acc=87.920000% | train_correct=52752 | train_total=60000 | val_loss=0.3911267 | val_acc=85.9600000% | interpolacja=False | soft_intepolacja=False
[Epoch 50] train_loss=0.339043 | train_acc=87.938333% | train_correct=52763 | train_total=60000 | val_loss=0.3915168 | val_acc=86.0900000% | interpolacja=False | soft_intepolacja=False
[Epoch 51] train_loss=0.337217 | train_acc=88.090000% | train_correct=52854 | train_total=60000 | val_loss=0.3911153 | val_acc=86.0000000% | interpolacja=False | soft_intepolacja=False
[Epoch 52] train_loss=0.336049 | train_acc=88.103333% | train_correct=52862 | train_total=60000 | val_loss=0.3858312 | val_acc=86.4100000% | interpolacja=False | soft_intepolacja=False
[Epoch 53] train_loss=0.333750 | train_acc=88.213333% | train_correct=52928 | train_total=60000 | val_loss=0.3860753 | val_acc=86.3100000% | interpolacja=False | soft_intepolacja=False
[Epoch 54] train_loss=0.332562 | train_acc=88.233333% | train_correct=52940 | train_total=60000 | val_loss=0.3838828 | val_acc=86.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 55] train_loss=0.331344 | train_acc=88.263333% | train_correct=52958 | train_total=60000 | val_loss=0.3850556 | val_acc=86.3100000% | interpolacja=False | soft_intepolacja=False
[Epoch 56] train_loss=0.329923 | train_acc=88.335000% | train_correct=53001 | train_total=60000 | val_loss=0.3848763 | val_acc=86.5100000% | interpolacja=False | soft_intepolacja=False
[Epoch 57] train_loss=0.328325 | train_acc=88.363333% | train_correct=53018 | train_total=60000 | val_loss=0.3820002 | val_acc=86.4000000% | interpolacja=False | soft_intepolacja=False
[Epoch 58] train_loss=0.326550 | train_acc=88.436667% | train_correct=53062 | train_total=60000 | val_loss=0.3834091 | val_acc=86.2500000% | interpolacja=False | soft_intepolacja=False
[Epoch 59] train_loss=0.325327 | train_acc=88.510000% | train_correct=53106 | train_total=60000 | val_loss=0.3803168 | val_acc=86.3400000% | interpolacja=False | soft_intepolacja=False
[Epoch 60] train_loss=0.323638 | train_acc=88.653333% | train_correct=53192 | train_total=60000 | val_loss=0.3783900 | val_acc=86.4900000% | interpolacja=False | soft_intepolacja=False
[Epoch 61] train_loss=0.322581 | train_acc=88.603333% | train_correct=53162 | train_total=60000 | val_loss=0.3797259 | val_acc=86.6200000% | interpolacja=False | soft_intepolacja=False
[Epoch 62] train_loss=0.321470 | train_acc=88.695000% | train_correct=53217 | train_total=60000 | val_loss=0.3780259 | val_acc=86.5700000% | interpolacja=False | soft_intepolacja=False
[Epoch 63] train_loss=0.319991 | train_acc=88.700000% | train_correct=53220 | train_total=60000 | val_loss=0.3778339 | val_acc=86.5200000% | interpolacja=False | soft_intepolacja=False
[Epoch 64] train_loss=0.318712 | train_acc=88.766667% | train_correct=53260 | train_total=60000 | val_loss=0.3754888 | val_acc=86.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 65] train_loss=0.317666 | train_acc=88.736667% | train_correct=53242 | train_total=60000 | val_loss=0.3793349 | val_acc=86.4300000% | interpolacja=False | soft_intepolacja=False
[Epoch 66] train_loss=0.316122 | train_acc=88.885000% | train_correct=53331 | train_total=60000 | val_loss=0.3734662 | val_acc=86.9500000% | interpolacja=False | soft_intepolacja=False
[Epoch 67] train_loss=0.314480 | train_acc=88.895000% | train_correct=53337 | train_total=60000 | val_loss=0.3740442 | val_acc=86.6500000% | interpolacja=False | soft_intepolacja=False
[Epoch 68] train_loss=0.313749 | train_acc=88.890000% | train_correct=53334 | train_total=60000 | val_loss=0.3756379 | val_acc=86.6300000% | interpolacja=False | soft_intepolacja=False
